Song_title,Artist,genre,release_date,topic,len
a day in the life of a fool,harry belafonte,pop,1968,sadness,21
rhythm of the rain,the cascades,pop,1963,sadness,73
hey woo,loon,hip hop,2017,obscene,83
how i remember you,michael franks,jazz,1993,world/life,65
this beautiful life,the dear hunter,jazz,2009,violence,57
rain,breaking benjamin,pop,2004,sadness,23
violets for your furs,billie holiday,blues,1958,music,39
funkentown,slave,jazz,1981,obscene,162
three time loser,bonnie raitt,blues,1977,night/time,60
your cheatin' heart,fats domino,blues,1963,sadness,32
matters of the heart,tracy chapman,pop,1992,sadness,118
runaway,nuyorican soul,jazz,1997,world/life,149
when your lips are so close,gord bamford,country,2013,romantic,96
where the love is,the sound,pop,1982,violence,24
the invite,pepper,reggae,2016,world/life,116
all summer long,the beach boys,pop,1973,music,71
clown,korn,rock,1994,obscene,143
nerve,jordan rakei,jazz,2017,world/life,69
i got a hole in my pirogue,johnny horton,country,1956,violence,42
mexico,the ventures,rock,1962,violence,62
crazy,kenny rogers,country,1984,world/life,43
sandstorm,charlie palmieri,jazz,1967,sadness,48
pd world tour (feat. puff daddy),black rob,hip hop,2017,obscene,76
sittin' here thinkin,john lee hooker,blues,1971,obscene,65
stormtroopin',ted nugent,blues,1975,obscene,52
eli's comin',laura nyro,pop,1968,sadness,185
litany (life goes on),guadalcanal diary,pop,1987,world/life,50
love is what we make it,kenny rogers,country,1985,night/time,28
smile back,mac miller,pop,2011,obscene,167
boom!,system of a down,rock,2002,obscene,123
round about way,george strait,country,1997,sadness,44
watch that man,david bowie,rock,1973,obscene,112
"so long, frank lloyd wright",simon & garfunkel,pop,1970,night/time,49
the curse of curves,cute is what we aim for,pop,2006,violence,114
g.h.e.t.t.o.u.t.,changing faces,pop,1997,obscene,106
my love,mary j. blige,pop,1992,sadness,84
cold love,rainbow kitten surprise,rock,2015,violence,56
queen of spades,styx,rock,1978,violence,67
my propeller,arctic monkeys,rock,2009,sadness,40
unhappy birthday,the smiths,rock,1987,sadness,51
going to the zoo,"peter, paul and mary",pop,1969,night/time,81
you're beautiful,shane & shane,rock,2014,world/life,18
billions,russell dickerson,country,2017,obscene,129
swords and knives,tears for fears,pop,1989,world/life,57
comin' home,delaney & bonnie,country,1970,music,45
the only one for me,brian mcknight,pop,2002,sadness,72
the last fallen hero,the charlie daniels band,country,2002,violence,86
breaking down,the black keys,blues,2019,sadness,51
if i had my way,vince gill,country,1994,sadness,27
faceless,godsmack,rock,2003,world/life,50
no way out (theme from brother bear),phil collins,rock,2003,world/life,24
"i have a song to sing, o!","peter, paul and mary",pop,1969,music,151
allison,pixies,pop,1990,sadness,13
verse 1,jah shaka,reggae,1982,obscene,122
the music goes 'round and around,louis prima,blues,1959,music,28
tonight my love,pablo cruise,country,1977,sadness,42
"6"" gold blade",the birthday party,blues,1982,violence,47
gone sovereign,stone sour,rock,2012,violence,53
blue skies,ella fitzgerald,blues,1959,music,36
can't say,travis scott,pop,2018,obscene,186
son of a preacher man,dusty springfield,pop,1969,obscene,30
halo,depeche mode,rock,1990,sadness,60
make me bad,korn,rock,1999,feelings,54
beat me daddy eight to the bar,glenn miller,jazz,1996,obscene,49
wooden heart,elvis presley,rock,1960,sadness,44
where have all the good times gone,the kinks,rock,1965,feelings,85
many rivers to cross,the animals,blues,1977,violence,49
panic attack,dream theater,rock,2005,violence,95
for sentimental reasons,the righteous brothers,pop,1965,world/life,24
please don't make me,owen gray,reggae,1983,world/life,68
good to know that if i ever need attention,brand new,pop,2003,violence,63
give it up,midtown,pop,2004,sadness,84
cain't no grave hold my body down,sister rosetta tharpe,blues,1956,violence,73
years after you,eddie rabbitt,country,1982,world/life,72
new time & age,ziggy marley & the melody makers,reggae,1991,night/time,112
heartbreaker,crazy p,jazz,2011,feelings,28
i want to thank you,otis redding,blues,1965,romantic,56
please don't leave me,ray price,country,1958,romantic,20
maxwell murder,rancid,pop,1995,obscene,66
rich kid,billy squier,rock,1980,obscene,56
got you on my mind,delbert mcclinton,country,1990,sadness,62
our conscience you and me,conway twitty,country,1973,romantic,35
how far,martina mcbride,country,2003,sadness,47
red bowling ball ruth,the white stripes,blues,1999,obscene,26
sailing to philadelphia,mark knopfler,rock,2000,violence,81
nothing's news,clint black,country,1989,obscene,56
captain lou,nrbq,country,1984,obscene,98
josie,donovan,pop,1965,violence,72
look at miss ohio,gillian welch,pop,2003,night/time,60
chocolate supa highway,michael franti & spearhead,reggae,1997,obscene,147
we're all in love,black rebel motorcycle club,blues,2003,violence,42
it's alright,slim smith,reggae,1972,obscene,183
election day,arcadia,pop,1985,violence,117
wishing (if i had a photograph of you),a flock of seagulls,pop,1981,world/life,39
how long blues,t-bone walker,blues,2005,night/time,26
agua de clavelito,johnny pacheco,jazz,1979,sadness,81
rebel way,snoop lion,reggae,2013,sadness,121
a thousand memories,rhett akins,country,1995,world/life,54
about you,the jesus and mary chain,pop,1987,romantic,31
big city girls,april wine,country,1981,obscene,114
cryin',eric clapton,blues,1999,sadness,24
old timer,burning spear,reggae,1995,world/life,127
year of the knife,tears for fears,pop,1989,music,102
two for one,the skatalites,reggae,1996,world/life,125
do you want new wave or do you want the truth,minutemen,pop,1984,violence,16
lucky 7,prince buster,reggae,1964,world/life,72
love makes the world go round,the hollies,pop,1974,world/life,47
the plan,built to spill,pop,1999,world/life,25
"be all, end all",anthrax,rock,1988,obscene,120
blue smoke (kohu-auwahi),dean martin,jazz,1952,sadness,39
lonely,akon,pop,2004,sadness,157
inside our home,311,reggae,2017,music,110
i would,lesley gore,pop,1963,romantic,42
check da skillz,main one,hip hop,2015,violence,102
new blue,widespread panic,blues,2001,world/life,52
one more time,kxng crooked,hip hop,2013,violence,123
bad boy business,mighty diamonds,reggae,1988,obscene,168
(our love) don't throw it all away,bee gees,rock,1979,sadness,74
prologue: a faint applause...,thank you scientist,jazz,2016,music,33
rollin' (air raid vehicle),limp bizkit,rock,2000,obscene,49
get your money where you spend your time,"bobby ""blue"" bland",blues,1987,night/time,90
in the jailhouse now,webb pierce,country,2001,obscene,55
cha cha cha d´amour,dean martin,jazz,1962,music,45
i am blessed,mr. vegas,reggae,2011,obscene,102
u da man feat. mad lion & smif-n-wessun,black moon,hip hop,2014,violence,109
savior,skillet,rock,2003,sadness,104
all this time,tiffany,pop,1988,sadness,13
them shoes,patrick sweany,blues,2007,world/life,60
slippin' and slidin',wanda jackson,rock,1961,night/time,101
the becoming,nine inch nails,rock,1994,violence,105
life is beautiful,keb' mo',country,2006,world/life,90
milkshake,kelis,pop,2003,obscene,159
kiss the devil,eagles of death metal,blues,2004,violence,37
thin air (smells like mississippi),widespread panic,blues,2004,obscene,57
would you,the holdup,reggae,2019,obscene,115
because of you,kelly clarkson,pop,2004,sadness,69
some other time,the alan parsons project,rock,1977,world/life,37
seventh son of a seventh son,iron maiden,rock,1988,violence,95
loving her was easier,josé feliciano,pop,1976,music,46
the last unicorn,kenny loggins,rock,1994,violence,47
big chief,the subdudes,blues,1989,feelings,19
be honest with me,dean martin,jazz,1950,romantic,29
a message to pretty,love,pop,1966,sadness,31
what is home,the black crowes,blues,2009,violence,45
barenese,jonathan butler,jazz,1986,obscene,94
she,edie brickell & new bohemians,pop,1988,music,46
the style you haven't done yet,boogie down productions,hip hop,1989,obscene,125
"a woman, a lover, a friend",jackie wilson,pop,1960,romantic,74
seek up,dave matthews band,pop,1993,sadness,145
baby love,the supremes,pop,1964,sadness,65
what would you say,dave matthews band,rock,2014,violence,80
i made it through the rain,barry manilow,pop,1980,world/life,58
i'll always love you,tito nieves,jazz,2005,world/life,39
does my ring burn your finger,lee ann womack,country,2000,violence,39
on the outside,oingo boingo,pop,1981,violence,121
drowning on dry land/fish soup,manfred mann's earth band,blues,1978,violence,40
your cheatin' heart,patsy cline,country,1962,sadness,34
the days,avicii,pop,2014,world/life,74
better days,rufus,jazz,1977,world/life,43
no wood,the movement,reggae,2004,night/time,164
river of deceit,mad season,blues,1995,violence,38
right where it belongs,nine inch nails,rock,2005,world/life,58
ticks & leeches,tool,rock,2001,violence,31
making plans for nigel,xtc,pop,1979,world/life,25
i wish you could have turned my head (and left my heart alone),the oak ridge boys,country,1981,sadness,30
goodbye little darling,johnny cash,country,1958,romantic,36
after hours,we are scientists,rock,2008,night/time,84
master blaster (jammin'),stephen marley,reggae,2003,obscene,174
street life,the crusaders,jazz,1979,world/life,98
bend to squares,death cab for cutie,pop,1998,violence,38
i remember,julee cruise,pop,1989,world/life,27
24/7,the expendables,reggae,2002,night/time,3
give me the simple life,tony bennett,jazz,1955,world/life,43
so cold,breaking benjamin,pop,2004,violence,24
for your babies,simply red,pop,1991,world/life,62
poison heart,ramones,rock,1992,sadness,116
pull up vibes,beres hammond,reggae,2013,world/life,64
let the music play,g. love & special sauce,reggae,2006,music,64
lucky man,the verve,pop,1997,world/life,84
queen of hearts,we the kings,rock,2013,sadness,94
together again,kenny rogers,country,1979,sadness,24
manic depression,jimi hendrix,blues,1967,romantic,53
all night long,eagles,rock,1980,night/time,30
didn't we,astrud gilberto,jazz,1969,night/time,28
midnight,don gibson,country,1959,sadness,35
can't hide love,"earth, wind & fire",jazz,1975,sadness,63
piece of my heart,faith hill,pop,1993,sadness,129
embraceable you,billie holiday,blues,1957,romantic,29
land locked blues,bright eyes,rock,2005,sadness,185
walk away from the sun,seether,rock,2007,sadness,75
aunt hagar's blues,louis armstrong,jazz,1954,music,56
pure,blue six,jazz,2002,world/life,76
america,lee greenwood,country,1992,world/life,80
kill the director,the wombats,pop,2007,violence,80
rise up,peter frampton,blues,1981,sadness,30
sing this all together,the rolling stones,rock,1967,violence,48
medicine man,dorothy,blues,2016,world/life,56
get real,wailing souls,reggae,1992,obscene,120
every kind of way,h.e.r.,pop,2017,world/life,62
now she's gone,the marshall tucker band,country,1974,feelings,73
last time for love,nina simone,blues,1959,night/time,83
slipping (into something),the feelies,pop,1986,sadness,25
island of no return,billy bragg,country,1984,violence,84
female robbery,the neighbourhood,rock,2013,violence,27
take your memory with you,vince gill,country,1991,sadness,34
"you stay (feat. meek mill, j balvin, lil baby & jeremih)",dj khaled,pop,2019,night/time,41
goin' home baby,big maybelle,blues,1958,obscene,197
it's all in the game,four tops,pop,1970,sadness,44
he's a tryer,chris ledoux,country,1982,obscene,88
living the dream,sturgill simpson,country,2014,world/life,68
what is this thing called love,billie holiday,blues,1956,sadness,25
cure for pain,morphine,blues,1993,sadness,38
summertime sadness (lana del rey vs. cedric gervais),lana del rey,pop,2013,sadness,41
still got the blues,chuck berry,blues,1963,music,26
why don't you do right (get me some money too),peggy lee,jazz,1990,obscene,33
the arms,ty segall,blues,2019,violence,44
a fire i can't put out,george strait,country,1982,sadness,30
suicidal thoughts,the notorious b.i.g.,pop,1994,obscene,193
big mistake,pepper,reggae,2016,world/life,75
up a step,hank mobley,jazz,2000,obscene,183
on the run,"royce da 5'9""",hip hop,2009,obscene,42
someday my prince will come,the dave brubeck quartet,jazz,1955,romantic,31
too late,bob baldwin,jazz,2007,obscene,179
hot sex,a tribe called quest,pop,1992,obscene,173
white rabbit,egypt central,rock,2011,violence,50
if i'd been the one,38 special,country,1984,sadness,88
long time to forget,george jones,country,1955,night/time,112
my foolish heart,astrud gilberto,jazz,1966,sadness,47
the red,chevelle,rock,2002,world/life,17
age of reason,the rippingtons,jazz,2009,world/life,1
around the town,gino washington,blues,1999,violence,121
i'm shooting high,nat king cole,jazz,2009,violence,41
jumpdafuckup,soulfly,rock,2000,obscene,55
bless,midnite,reggae,2002,violence,82
bloodhail,have a nice life,jazz,2008,world/life,148
your silent face,new order,pop,1983,violence,34
in the night-time,michael henderson,jazz,1978,night/time,77
matrial eyes,pat travers,blues,1980,violence,70
soul eyes,walt weiskopf,jazz,2018,world/life,156
how you've changed,the animals,blues,1965,romantic,28
in the hills of shiloh,bobby bare,country,1973,music,72
the long black veil,lefty frizzell,country,1950,violence,68
bli-blip,ella fitzgerald,blues,1957,sadness,60
we've got a score to settle,the dear hunter,jazz,2011,violence,47
under his command,the cold stares,blues,2018,world/life,53
hell to pay,the jeff healey band,blues,1990,world/life,92
imitation of christ,the psychedelic furs,pop,1980,violence,66
in other words (fly me to the moon),johnny mathis,pop,1956,music,21
let me run into your lonely heart,eddie kendricks,jazz,1972,sadness,89
blame,bastille,rock,2016,sadness,74
navajo wrangler,chris ledoux,country,1980,sadness,61
broken hearted me,england dan,rock,1978,sadness,70
sugar walls,sheena easton,pop,1984,violence,104
high sierra,dolly parton,country,1999,night/time,47
better off (feat. vince gill),sara evans,country,2014,sadness,78
peppa,mavado,reggae,2011,obscene,165
coattails,black pistol fire,blues,2017,violence,80
afterlife,arcade fire,rock,2013,violence,89
stay chisel,large professor,jazz,2002,obscene,169
loose,primer 55,rock,2000,obscene,68
money money,ufo,blues,1980,obscene,65
cheatin’ songs,midland,country,2019,obscene,119
don't ever leave me,paul anka,pop,1992,sadness,11
i just wanna believe,pablo cruise,country,1977,world/life,58
changes,donovan,pop,1970,world/life,39
it's supposed to bubble,ugk,hip hop,2015,obscene,50
if my homie calls,2pac,pop,1991,world/life,175
walkaway,the wood brothers,blues,2008,sadness,92
ribbon of darkness,marty robbins,country,1952,sadness,54
baby that's love,gene chandler,pop,1962,sadness,51
nothin' for nothin',cinderella,rock,1986,obscene,108
ghosts,the jam,pop,1982,sadness,57
that's right!,swingrowers,jazz,2015,night/time,66
grand designs,rush,rock,1985,obscene,80
corona,calexico,country,2004,violence,20
mamaloi,the doobie brothers,country,1972,music,81
i am the future,alice cooper,blues,1982,world/life,62
across the midnight sky,al jarreau,jazz,1986,sadness,64
happy on the hey now (a song for kristi),kenny chesney,country,2013,world/life,72
so begins the task,stephen stills,country,1972,world/life,43
one more time,seals and crofts,country,1978,night/time,50
not fade away,the rolling stones,rock,1964,sadness,32
in my dreams,josh turner,country,2003,world/life,62
better living through chemistry,queens of the stone age,blues,2000,violence,27
off your face,my bloody valentine,pop,1990,violence,17
hard to believe,eraserheads,reggae,1998,world/life,44
you've given me something,orleans,pop,1975,world/life,74
smoke gets in your eyes,coleman hawkins,jazz,1997,sadness,39
treatment bound,the replacements,country,1983,obscene,67
there stands the glass,webb pierce,country,1976,violence,30
house of broken love,great white,rock,1989,sadness,76
king of the world,natalie grant,rock,2015,world/life,25
i shall be released (finale)(ensemble),the band,country,2002,violence,34
busted and blue,black pistol fire,blues,2012,obscene,32
i think i found the culprit,jack white,blues,2014,obscene,22
the last wall of the castle,jefferson airplane,blues,1967,world/life,47
here i am,sanchez,reggae,1994,sadness,44
here i am,skid row,rock,1989,sadness,49
don't leave me,ricky nelson,pop,1959,sadness,68
tarzan of harlem,cab calloway,blues,1994,violence,50
fight from the inside,queen,rock,1977,violence,56
hiding my heart,adele,pop,2007,sadness,89
phoenix,a$ap rocky,pop,2013,obscene,145
just another love,tanya tucker,country,1986,sadness,79
holding back the years,etta james,blues,2006,romantic,88
6:00,grandson,rock,2018,violence,30
love and learn,dolly parton,country,1968,world/life,28
thinkin bout you,frank ocean,pop,2012,obscene,103
pet politics,silver jews,pop,1996,violence,79
chelsea smile,bring me the horizon,rock,2008,violence,120
don't forget,the platters,rock,1957,world/life,36
the arms of a fool,john anderson,country,1980,sadness,55
living in a dream,arc angels,blues,1992,night/time,33
love will keep us alive,eagles,rock,1994,violence,28
crab,weezer,pop,2001,feelings,41
california blue,roy orbison,pop,1989,music,68
safe in the arms of love,baillie & the boys,country,1988,sadness,58
there goes my everything,connie smith,country,1967,sadness,37
holy mount zion,culture,reggae,1978,violence,187
holidays in the sun,sex pistols,rock,1977,world/life,106
that's the way love goes,johnny rodriguez,country,1997,world/life,26
my sweet love ain't around,steve young,country,1969,sadness,42
home again,carole king,pop,1971,night/time,41
(wish i could fly like) superman,the kinks,rock,1979,violence,122
a ghost to most,drive-by truckers,country,2008,violence,128
the duellists,iron maiden,rock,1984,violence,83
worry rock,green day,pop,1997,violence,57
good ol' boys club,kacey musgraves,country,2015,obscene,83
i can see it (but i can't feel it),my bloody valentine,pop,1988,violence,18
stone cold,demi lovato,pop,2015,violence,57
one by one,the doobie brothers,blues,1977,sadness,50
panchhi banoon udti phiroon,lata mangeshkar,pop,1957,music,59
running blind,godsmack,rock,2004,violence,75
blue skies,susie arioli,jazz,2008,music,35
mess around,professor longhair,blues,1978,obscene,66
tryin' to untangle my mind,chris stapleton,country,2017,obscene,53
shoulders,for king & country,rock,2015,violence,102
dem ago dead,masicka,reggae,2011,violence,175
the real me,pete townshend,pop,1973,feelings,96
i'll never be free,jean shepard,country,1959,romantic,41
choopula kalasina subhavela,ghantasala,pop,1957,violence,109
less than whole,eric paslay,country,2014,world/life,67
what i've got in mind,billie jo spears,country,1987,night/time,55
the blues come around,hank williams,country,1985,music,65
nobody but you,dee clark,pop,1961,romantic,37
the crown prince,waylon jennings,country,1987,world/life,68
blue eyes blue,eric clapton,blues,1999,sadness,36
settle down,the 1975,pop,2013,violence,97
dr. wanna do,caro emerald,jazz,2010,violence,93
the sky is crying,elmore james,blues,1960,sadness,37
still holding on (with martina mcbride),clint black,country,1997,romantic,49
bones,ocean alley,reggae,2018,world/life,47
real cool time,the stooges,blues,1969,night/time,27
soil to the sun,cage the elephant,blues,2009,violence,122
what i've known for a very long time,joe bonamassa,blues,2016,night/time,77
pins and needles,ray price,country,1957,sadness,37
comics,caravan palace,jazz,2015,obscene,37
i've got the world on a string,diana krall,jazz,1995,music,27
moonlight bay,bing crosby,jazz,2014,music,35
some memories just won't die,marty robbins,country,1952,sadness,39
herbalist,alborosie,reggae,2008,obscene,135
let's go get stoned,booker t. & the m.g.'s,blues,1968,romantic,28
sunburn,fuel,rock,1997,sadness,68
super stupid,funkadelic,rock,1971,violence,28
save it for later,pete townshend,pop,1986,sadness,119
that's all right mama,canned heat,blues,1970,night/time,49
crazy,the hip abduction,reggae,2016,obscene,195
nail pon cross,damian marley,reggae,2017,world/life,130
can't help yourself,the blackwater fever,blues,2013,violence,33
sweet and low,tedeschi trucks band,blues,2013,romantic,60
temporary bliss,the cab,pop,2011,violence,99
wish you were on it,florida georgia line,country,2016,sadness,91
regrets,casey donahew,country,2011,sadness,103
greyhound bound for nowhere,miranda lambert,country,2005,sadness,85
house of broken dreams,"crosby, stills & nash",country,1990,sadness,53
world so cold,12 stones,rock,2007,world/life,132
my foolish heart,bill evans trio,jazz,1961,sadness,56
rolling in the deep,go radio,pop,2011,sadness,111
set it,ol' burger beats,jazz,2018,music,121
today,ziggy marley & the melody makers,reggae,1995,world/life,52
loving you more and more,michael franks,jazz,1980,romantic,46
gook,denzel curry,hip hop,2019,obscene,84
unconditionally,katy perry,pop,2013,sadness,50
somewhere in between,phil vassar,country,2000,violence,66
give me the simple life,steve tyrell,jazz,1999,world/life,63
do you remember walter?,the kinks,rock,1968,world/life,54
thank god i found you (feat. joe & 98°),mariah carey,pop,1999,world/life,94
road to nowhere,greensky bluegrass,rock,2007,world/life,110
outta my head,craig campbell,country,2013,obscene,99
what a life i've led,the hollies,pop,1971,violence,90
doctor love,john holt,reggae,1976,obscene,190
devil or angel,bobby vee,pop,1960,violence,39
baby i'm broken,the record company,blues,2017,sadness,96
bernadette,four tops,pop,1999,world/life,73
little by little,junior wells,blues,1957,sadness,49
yosemite,travis scott,pop,2018,obscene,142
virginia,the marshall tucker band,country,1975,world/life,56
chains around my heart,richard marx,pop,1991,sadness,63
all i have to give you is my love,dean martin,jazz,1952,world/life,22
keep our love alive,paul davis,pop,1972,violence,61
wishin' and hopin',dusty springfield,pop,1964,romantic,70
giants fall,francesca battistelli,rock,2014,violence,84
judy,elvis presley,rock,1961,romantic,18
tough to tie down,jordan davis,country,2018,obscene,83
super bon bon,soul coughing,pop,1996,world/life,68
accidentally on purpose,johnny cash,country,1962,sadness,41
monkey wrench,foo fighters,rock,1997,night/time,25
time will show the wiser,fairport convention,country,1968,sadness,44
slow,ann hampton callaway,jazz,2005,music,96
first love song,luke bryan,country,2007,music,68
i never meant to break your heart,randy rogers band,country,2005,sadness,62
devil in the bottle,t.g. sheppard,country,2008,violence,63
outcast,shinedown,rock,2015,obscene,121
i'm loving nothing,the impressions,pop,1968,romantic,59
walkin' all night,little feat,country,1973,obscene,98
love affair,the itals,reggae,1983,sadness,47
heartache medication,jon pardi,country,2019,night/time,103
slow down,morcheeba,jazz,2002,world/life,28
bulls,all them witches,blues,2017,obscene,37
here tonight,brett young,country,2018,night/time,104
night games,the record company,blues,2018,obscene,115
jazzclub atmosphere,deeb,jazz,2018,violence,79
i can you can,luciano,reggae,2011,world/life,49
mellow my man,the roots,hip hop,2018,obscene,144
play me a song i can cry to,jerry lee lewis,country,1968,music,66
hold my hand,michael jackson,pop,2010,romantic,161
trouble,widespread panic,blues,2001,sadness,58
if dreams came true,pat boone,pop,1962,romantic,53
intro,wayne wonder,reggae,2003,obscene,88
limehouse blues,chet atkins,country,1978,music,38
long road,mishka,reggae,2009,night/time,81
the dead don't die,sturgill simpson,country,2019,world/life,76
the runaway,gentle giant,jazz,1973,violence,72
fight till you die,pennywise,pop,1997,violence,126
paper boy,johnny cooper,country,1955,sadness,24
melodies and memories,chris ledoux,country,1984,music,76
i live one day at a time,joan baez,pop,1970,world/life,58
leave this town,thin lizzy,blues,1981,sadness,98
he would have laughed,deerhunter,pop,2010,world/life,30
smackwater jack,carole king,pop,1971,obscene,91
whiskey on my breath,love and theft,country,2015,violence,32
heaven,jelly roll,country,2017,obscene,185
pure woman,capleton,reggae,2002,romantic,179
2hb,bryan ferry,pop,1976,sadness,55
speak,queensrÿche,rock,1988,violence,88
alexander's ragtime band,ella fitzgerald,blues,1958,music,31
hawaiian bells,marty robbins,country,1963,music,21
tears don't fall,bullet for my valentine,pop,2006,sadness,53
hit me with your best shot,pat benatar,pop,1980,obscene,61
tell him i'm gone,johnny cash,country,1963,feelings,72
i still believe in fairy tales,tammy wynette,country,1964,world/life,37
animal machine,the vines,blues,2004,obscene,62
kahan se yeh sholon ka toofan aaya,lata mangeshkar,pop,1956,violence,41
bye bye love,simon & garfunkel,pop,1970,romantic,57
always on my mind / in my house,pet shop boys,pop,1988,night/time,84
start a war,the national,pop,2007,sadness,60
shame,matchbox twenty,pop,1996,world/life,85
more than a margarita,brooks & dunn,country,1996,sadness,42
mobius,a tribe called quest,jazz,2016,obscene,185
hit man,spoonie gee,hip hop,2004,obscene,128
run to the hills,iron maiden,rock,1982,violence,39
i sing them,ty segall,blues,2019,music,88
you've made me so very happy,"blood, sweat & tears",pop,1959,world/life,60
i want to make you smile,kenny rogers,country,1979,world/life,40
the mango song,phish,blues,1992,violence,58
don't let me be lonely tonight,james taylor,rock,1972,night/time,57
love of my life,sammy kershaw,country,1997,world/life,61
the father,black roots,reggae,1983,obscene,192
around the world,aqua,pop,2000,world/life,117
i'd still be there,johnny cash,country,1963,world/life,27
whatever it takes,hollywood undead,rock,2017,obscene,44
when the welfare turns its back on you,albert collins,blues,1978,obscene,43
guitar man,j.j. cale,blues,1996,music,55
nellyville,nelly,pop,2002,obscene,162
i talk to the wind,king crimson,jazz,1969,music,62
never never,brick & lace,reggae,2006,obscene,121
fall,swing republic,jazz,2012,sadness,98
prelude to a kiss,duke ellington,jazz,1954,music,72
i will not bow,breaking benjamin,pop,2009,sadness,82
packt like sardines in a crushed tin box,radiohead,rock,2001,world/life,28
we're here to love,ronnie milsap,country,1983,world/life,70
i'm the man,anthrax,rock,1987,obscene,160
from heads unworthy,rise against,rock,2008,sadness,91
party lights,junior brown,country,1993,obscene,79
rotten peaches,elton john,rock,1971,world/life,97
my summer love,the tymes,blues,1963,music,87
1969,the stooges,blues,1969,music,13
isn't it time,tetrack,reggae,1978,night/time,23
pegasus,the allman brothers band,country,1979,music,7
point blank,bruce springsteen,rock,1980,violence,178
wam,a$ap ferg,pop,2019,obscene,181
my heart cries for you,dean martin,jazz,1964,sadness,53
you're breaking my heart (mattinata),dean martin,jazz,1956,sadness,42
hold on to me,cowboy junkies,country,1996,romantic,43
torn,cassadee pope,country,2012,obscene,65
gracefully,vintage trouble,blues,2011,sadness,59
morning song for sally,nanci griffith,country,1993,world/life,47
if i had left it up to you,merle haggard,country,1965,sadness,13
fire,the heavy,blues,2019,violence,71
"here, there and everywhere",george benson,jazz,1989,world/life,41
rifle range,blondie,pop,1976,sadness,96
it hurts to be in love,gene pitney,pop,1966,sadness,50
time waster,mikey dread,reggae,1983,obscene,174
birds and ships (feat. natalie merchant),billy bragg,country,1998,music,28
little star,chuck berry,blues,1961,sadness,19
slither,metallica,rock,1997,violence,64
down home blues,james cotton,blues,1990,music,67
freestyle,mobb deep,hip hop,2019,obscene,91
songs of yesterday,free,pop,1969,music,50
till i get used to the pain,john anderson,country,1985,sadness,61
to defy the laws of tradition,primus,rock,1990,violence,43
freak u,nils landgren funk unit,jazz,2007,obscene,74
do right by your woman,bad company,blues,1976,night/time,52
"summer, highland falls",billy joel,rock,1976,world/life,50
outta style,aaron watson,country,2017,obscene,143
it's not over (if i'm not over you),reba mcentire,country,1984,sadness,13
hoggs on da grind,slim thug,hip hop,2007,obscene,192
easy road home,pieces of a dream,jazz,1981,obscene,155
we belong,pat benatar,pop,1984,music,111
dub marcus say,steel pulse,reggae,1982,music,40
"deeper, dig deeper",santana,blues,1987,sadness,39
echoes,the rapture,rock,2003,world/life,30
"with their flesh, he'll create",gorguts,jazz,1993,violence,69
leave me alone,lesley gore,pop,1964,sadness,33
honest,the neighbourhood,rock,2014,sadness,75
differences,ginuwine,pop,2001,world/life,170
the domino theory,steve wariner,country,1991,sadness,81
the letter,the box tops,pop,1967,music,78
follow your daughter home,the guess who,blues,1999,violence,95
knee deep in the blues,marty robbins,country,1976,sadness,33
no pride,green day,pop,1995,violence,90
dreaming my dreams with you,collin raye,country,1991,world/life,25
towers of london,xtc,pop,1980,violence,118
someone loves you honey,charley pride,country,1978,world/life,25
rock your socks,tenacious d,rock,2001,obscene,116
where they @,dead obies,hip hop,2017,obscene,50
levi stubbs' tears,billy bragg,pop,1986,sadness,79
instigator,ballyhoo!,reggae,2013,obscene,80
give thx,nightmares on wax,jazz,2013,world/life,39
career of evil,blue öyster cult,blues,1974,violence,107
overtime,benjamin booker,blues,2017,world/life,51
jackie chan,wifisfuneral,hip hop,2017,obscene,133
this romeo ain't got julie yet,diamond rio,country,1991,violence,48
preach,drake,pop,2015,obscene,190
survivor,todd terry,hip hop,2013,violence,125
it hurts me so much,etta james,blues,1968,sadness,39
vision,mo kalamity,reggae,2007,violence,40
how about you?,rosemary clooney,jazz,2001,romantic,49
detroit city,dolly parton,country,1980,music,92
blues for j,julian sas,blues,2000,night/time,42
ridin' the rodeo,vince gill,country,1989,world/life,63
(find a) reason to believe,rod stewart,rock,1971,world/life,97
born in space,owane,jazz,2018,violence,56
gain the world,jahmiel,reggae,2015,obscene,97
i can't stand the rain,tina turner,pop,1991,music,65
tulare dust,merle haggard,country,1971,violence,46
just let go,the seeds,blues,1966,world/life,95
surrender,christafari,reggae,1999,world/life,56
life in prison,the byrds,pop,1968,world/life,48
mutual slump,dj shadow,jazz,1996,violence,11
flashbacks,katastro,reggae,2018,obscene,117
date with destiny,nightmares on wax,jazz,2002,night/time,112
home on the range,gene autry,country,2005,music,123
scarlet and sheba,alice cooper,blues,1983,violence,73
gorecki,lamb,jazz,1996,night/time,85
let me call you sweetheart,hank thompson,country,1958,music,11
fourteen men,lorne greene,country,1965,violence,100
a whole new world (aladdin's theme),peabo bryson,rock,1992,world/life,81
tired eyes,neil young,rock,1975,violence,41
i've grown accustomed to her face,dean martin,jazz,1960,violence,46
powerman,the kinks,rock,1970,obscene,78
alive,the green,reggae,2010,world/life,129
le piaf,parov stelar,jazz,2011,violence,83
i love it loud,kiss,rock,1982,music,176
celebration,kanye west,pop,2005,obscene,93
i tried to leave you,leonard cohen,pop,1974,sadness,25
